dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
BNCI2014-001,1,7,22,288,2,0.8747126436781609,0.256745311554749,0.7054;0.7361;0.8747;0.6180;0.7325;0.8613;0.6668,2,1,-0.07142857142857144,0.38811547672255114,1.6866751128775925,0.03046025697355163,0.0,0,0,0.28571428571428575,0.19643510246992513,1.9253118487477208,0.01585080603185726,0.16926799758015731,2,1,0.9642857142857145,0.7950103769507854,0.7233521225215809,0.14478531632922284,0.0
BNCI2014-001,2,7,22,288,3,0.6283726557773744,0.13242589231699942,0.5521;0.5798;0.6005;0.6284;0.5555;0.4959;0.5034,4,0,0.396412483586046,0.5422503468919763,1.4786674172718894,0.036877813134172564,0.0728372655777374,5,0,-0.07142857142857144,0.27141793028026845,1.8761120624042782,0.023440663864917447,0.13242589231699942,2,0,0.5,0.4257409191885562,1.6504807833457211,0.050589869170378554,0.027828191167574068
BNCI2014-001,3,7,22,288,1,0.961826981246219,0.3683000604960678,0.6184;0.9618;0.7779;0.6388;0.8749;0.5935;0.6147,3,0,0.5357142857142858,0.2518504711137875,1.895098943024132,0.01697413223522304,0.32304900181488216,1,1,0.5357142857142858,0.31290082800132646,1.8143084479012668,0.030210111057049484,0.0,1,1,0.8571428571428573,0.9988663993614113,0.009288588801374387,0.23584802259657306,0.0
BNCI2014-001,4,7,22,288,3,0.7536600120992135,0.24652147610405317,0.5869;0.6738;0.6703;0.7537;0.5906;0.6216;0.5071,1,0,0.42857142857142866,0.3016732857699034,1.7321734232808712,0.02958443684059205,0.07985480943738654,1,0,0.6071428571428572,0.23110692329579735,1.9130610383836983,0.018026796314981518,0.07985480943738654,1,0,0.8214285714285715,0.28223533112414056,1.7058450757081038,0.07199243913253936,0.07985480943738654
BNCI2014-001,5,7,22,288,6,0.8853599516031458,0.39915305505142173,0.6982;0.5588;0.5729;0.5868;0.4862;0.6392;0.8854,3,0,-0.6785714285714287,0.5478473123530418,1.4682035185288118,0.037419665677659086,0.29854809437386565,0,0,-0.21428571428571433,0.1781730951582686,1.9325362304660763,0.014262341260377641,0.18711433756805806,6,1,0.9642857142857145,0.9058811908848837,0.41007101735176954,0.11946018785780707,0.0
BNCI2014-001,6,7,22,288,5,0.6877797943133697,0.19110707803992744,0.5834;0.6629;0.5834;0.6252;0.6496;0.6878;0.4967,4,0,0.25,0.4057548826740478,1.5484417999334887,0.04318254717328163,0.038173018753780985,1,0,0.14285714285714288,0.18906329665011515,1.9245355797560537,0.016314863031967487,0.024863883847549895,1,0,0.5357142857142858,0.8034954043069166,0.8076728004941787,0.0947135442363645,0.024863883847549895
BNCI2014-001,7,7,22,288,0,0.9234724742891711,0.40653357531760426,0.9235;0.7290;0.6183;0.8192;0.7880;0.5939;0.5169,0,1,0.6785714285714287,0.3676273298483546,1.7291377455984376,0.03505715641919682,0.0,3,0,-0.21428571428571433,0.19051652661911697,1.9167573106671623,0.017173602882184634,0.10423472474289164,0,1,0.9642857142857145,0.8071591032408938,0.6763598591595655,0.14664534656874165,0.0
BNCI2014-001,8,7,22,288,1,0.9411978221415607,0.2811857229280095,0.7396;0.9412;0.7294;0.8786;0.8126;0.6600;0.7288,6,0,0.03571428571428572,0.4275996082746139,1.2899448092545946,0.04473002252079775,0.21240169388989705,1,1,0.8571428571428573,0.24641102060358466,1.8835476172275754,0.02270296397938496,0.0,1,1,0.7500000000000002,0.9994441631901451,0.005146205288524212,0.2534501893670376,0.0
BNCI2014-001,9,7,22,288,1,0.8434966727162735,0.22583182093163945,0.7051;0.8435;0.6177;0.7149;0.8053;0.6246;0.7152,4,0,0.6847124716486249,0.5816744142517265,0.9703822468374724,0.07492105994648209,0.038173018753781096,4,0,0.7857142857142859,0.8138395264976368,0.7722022801665503,0.06890205785975054,0.038173018753781096,4,0,0.9642857142857145,0.4868857260880394,0.841900594708432,0.15013526862964768,0.038173018753781096
BNCI2014-004,1,7,3,720,1,0.6958333333333333,0.2305555555555555,0.4653;0.6958;0.6375;0.5694;0.6347;0.5583;0.5278,2,0,0.642857142857143,0.33089355738340537,1.7129633435748919,0.03005083161964624,0.05833333333333335,5,0,0.5714285714285715,0.3471859568720501,1.6844265697850727,0.03534779902682961,0.13749999999999996,1,1,0.702731220902536,0.8046721852293001,0.6600365270785651,0.09527757913046364,0.0
