dataset,subject,n_trials,rhoA,okA,best_band_A,best_acc_A,gainB_g05,gainB,gainA_same_half
BNCI2014-001,1,288,0.8999999999999998,1,4,0.8608374384236452,-2.0689655172413723,-5.591133004926108,0.6896551724137834
BNCI2014-001,2,288,0.49999999999999994,1,1,0.617487684729064,0.04926108374383453,-0.6157635467980316,6.256157635467985
BNCI2014-001,3,288,0.9999999999999999,1,0,0.9790640394088671,-2.118226600985207,-2.118226600985207,2.7339901477832607
BNCI2014-001,4,288,0.09999999999999999,0,4,0.6729064039408866,2.8078817733990236,-0.7142857142857006,-1.3546798029556606
BNCI2014-001,5,288,0.3,0,4,0.6453201970443349,4.137931034482756,2.783251231527095,-6.206896551724128
BNCI2014-001,6,288,0.7,1,0,0.674384236453202,-0.024630541871917266,0.0,2.0689655172413723
BNCI2014-001,7,288,0.8999999999999998,1,2,0.7911330049261084,1.379310344827589,3.497536945812807,-3.423645320197044
BNCI2014-001,8,288,0.8999999999999998,1,0,0.9583743842364532,4.137931034482756,4.137931034482756,3.497536945812807
BNCI2014-001,9,288,0.9999999999999999,1,0,0.8261083743842365,4.162561576354684,9.679802955665028,15.270935960591125
BNCI2014-004,1,720,0.8999999999999998,1,0,0.6944444444444444,-1.1111111111111183,-0.8333333333333304,2.2222222222222254
BNCI2014-004,2,680,0.39999999999999997,1,0,0.6382352941176471,1.764705882352946,1.176470588235301,2.0588235294117685
BNCI2014-004,3,720,0.15389675281277312,1,2,0.5361111111111111,1.388888888888884,0.8333333333333304,2.2222222222222365
BNCI2014-004,4,740,0.8999999999999998,1,0,0.9405405405405405,-0.2702702702702786,-0.2702702702702786,-0.5405405405405239
BNCI2014-004,5,740,0.9999999999999999,1,4,0.8,-0.2702702702702897,-0.2702702702702897,-2.432432432432441
BNCI2014-004,6,720,0.9999999999999999,1,1,0.7416666666666667,-0.277777777777799,-1.6666666666666718,-1.1111111111111072
BNCI2014-004,7,720,0.8999999999999998,1,1,0.7777777777777777,-0.5555555555555425,-1.111111111111096,0.5555555555555647
BNCI2014-004,8,760,0.8999999999999998,1,0,0.7894736842105263,-0.2631578947368318,-0.2631578947368318,-1.0526315789473606
BNCI2014-004,9,720,0.9999999999999999,1,1,0.7277777777777777,-0.2777777777777768,0.8333333333333415,-0.2777777777777657
Lee2019-MI,1,100,0.10259783520851541,1,0,0.6599999999999999,-9.999999999999998,-9.999999999999998,0.0
Lee2019-MI,2,100,0.3,1,4,1.0,-4.0000000000000036,-8.000000000000007,8.000000000000007
Lee2019-MI,3,100,-0.6708203932499368,0,0,0.76,2.0000000000000018,-8.000000000000007,-8.000000000000007
Lee2019-MI,4,100,0.6,0,0,0.8600000000000001,-2.0000000000000018,-6.000000000000005,14.000000000000012
Lee2019-MI,5,100,-0.6,0,3,0.7,1.9999999999999907,-4.0000000000000036,-7.999999999999985
Lee2019-MI,6,100,0.39999999999999997,1,1,0.6799999999999999,-4.0000000000000036,-1.9999999999999907,9.999999999999998
Lee2019-MI,7,100,-0.49999999999999994,0,0,0.72,-6.000000000000016,-6.000000000000016,-9.999999999999998
Lee2019-MI,8,100,-0.3,0,3,0.6199999999999999,-6.000000000000016,-8.000000000000018,-2.0000000000000018
Lee2019-MI,9,100,-0.3,0,0,0.6399999999999999,11.999999999999977,15.999999999999993,-2.0000000000000018
Lee2019-MI,10,100,0.8999999999999998,0,0,0.7200000000000001,-1.1102230246251565e-14,-7.9999999999999964,2.0000000000000018
Lee2019-MI,11,100,0.3,1,0,0.62,-7.999999999999985,-7.999999999999985,1.1102230246251565e-14
Lee2019-MI,12,100,0.7,1,0,0.8200000000000001,7.999999999999985,9.999999999999986,0.0
Lee2019-MI,13,100,0.3,1,2,0.6599999999999999,-3.9999999999999925,-4.0000000000000036,4.0000000000000036
Lee2019-MI,14,100,0.6,1,1,0.78,-2.000000000000013,-2.0000000000000018,6.000000000000005
Lee2019-MI,15,100,0.3,1,0,0.78,-4.0000000000000036,-5.999999999999995,-4.0000000000000036
Lee2019-MI,16,100,-0.6,0,2,0.6799999999999999,0.0,0.0,-3.9999999999999925
Lee2019-MI,17,100,0.09999999999999999,0,4,0.56,-5.999999999999995,-5.999999999999995,-8.000000000000007
Lee2019-MI,18,100,-0.09999999999999999,0,1,0.9199999999999999,18.000000000000014,14.000000000000012,5.999999999999995
Lee2019-MI,19,100,-0.7,0,0,0.78,-2.000000000000013,3.9999999999999813,-12.0
Lee2019-MI,20,100,0.3,1,0,0.66,-8.000000000000007,-4.0000000000000036,6.000000000000005
Lee2019-MI,21,100,0.39999999999999997,1,1,1.0,12.0,12.0,6.000000000000016
Lee2019-MI,22,100,0.39999999999999997,0,3,0.68,4.0000000000000036,4.0000000000000036,0.0
Lee2019-MI,23,100,0.7181848464596079,0,1,0.72,0.0,-1.9999999999999907,-3.9999999999999925
Lee2019-MI,24,100,-0.09999999999999999,0,3,0.6799999999999999,-9.999999999999998,-9.999999999999998,-3.9999999999999925
Lee2019-MI,25,100,0.8720815992723809,0,0,0.86,-4.0000000000000036,-6.000000000000005,4.000000000000014
Lee2019-MI,26,100,0.3,1,0,0.78,-7.999999999999985,-9.999999999999986,-8.000000000000007
Lee2019-MI,27,100,0.3,0,1,0.6199999999999999,-13.99999999999999,-12.0,-1.9999999999999907
Lee2019-MI,28,100,0.7,1,1,0.96,12.00000000000001,6.000000000000016,3.9999999999999813
Lee2019-MI,29,100,0.8944271909999157,1,2,1.0,-1.9999999999999907,-1.9999999999999907,0.0
Lee2019-MI,30,100,-0.44721359549995787,0,1,0.7,-4.0000000000000036,-2.0000000000000018,-3.9999999999999925
Lee2019-MI,31,100,-0.09999999999999999,0,1,0.7,2.0000000000000018,4.0000000000000036,3.9999999999999925
Lee2019-MI,32,100,0.20519567041703082,1,1,0.9199999999999999,-1.1102230246251565e-14,-4.0000000000000036,14.000000000000023
Lee2019-MI,33,100,0.7,1,1,0.8600000000000001,8.000000000000007,12.0,7.9999999999999964
Lee2019-MI,34,100,0.7,1,2,0.54,0.0,3.9999999999999925,20.00000000000001
Lee2019-MI,35,100,0.3,0,0,0.9400000000000001,-1.9999999999999907,-7.999999999999985,-14.000000000000002
Lee2019-MI,36,100,0.8999999999999998,1,0,1.0,9.999999999999998,7.999999999999985,-9.999999999999998
Lee2019-MI,37,100,-0.7,0,1,0.96,0.0,2.000000000000013,-10.000000000000009
Lee2019-MI,38,100,0.41039134083406165,0,1,0.6,-1.9999999999999907,-5.999999999999995,-6.000000000000005
