dataset,subject,n_trials,n_channels,n_bands,tau,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
BNCI2014-001,1,288,22,5,0.015,1.4075631228473928,0.20187478958670746,0.43543061859915094,0.029649060098313695,1,1,1,0.0603;0.4354;0.2110;0.0999;0.1933,0.1100;0.1448;0.0504;0.0780;0.1193,0.8854809437386569,0.8958862673926195,0.9029038112522686,0.9202661826981247,0.868118572292801,0.017422867513611662,0.034785238959467724,0.8992740471869329,0.9095583787053843,0.8992740471869329,0.8992740471869329,0.0
BNCI2014-001,2,288,22,5,0.015,1.1482469677301803,0.46119094470391997,0.628695983205296,0.036877813134172564,3,1,0,0.0804;0.1511;0.0861;0.6287;0.0538,0.0229;0.0506;0.0393;0.0233;0.0179,0.6038717483363581,0.6036902601330913,0.621113127646703,0.5483363581367211,0.5521476104053237,0.017241379310344862,0.017241379310344862,0.6004839685420448,0.6179673321234119,0.5970961887477314,0.5970961887477314,0.0
BNCI2014-001,3,288,22,5,0.015,1.5706139253947198,0.0388239870393805,0.3063748268250742,0.012436644964125554,2,0,0,0.1829;0.1337;0.3064;0.1774;0.1996,0.2358;0.0992;0.0447;0.1324;0.0506,0.9339987900786451,0.9304295220810648,0.9373865698729583,0.9304295220810648,0.8436781609195402,0.0033877797943132615,0.0033877797943132615,0.9479733817301875,0.9479128856624321,0.9479733817301875,0.9479733817301875,0.0
BNCI2014-001,4,288,22,5,0.015,1.4920748304144222,0.11736308201967804,0.34899570847296063,0.025347588999967474,0,0,1,0.3490;0.2449;0.0644;0.1640;0.1777,0.0720;0.0648;0.0695;0.0557;0.0486,0.7643073200241985,0.7607380520266183,0.7642468239564428,0.7155474894131881,0.6599516031457956,-6.0496067755710925e-05,0.0,0.7885662431941924,0.6949788263762855,0.7989110707803994,0.7989110707803994,0.0
BNCI2014-001,5,288,22,5,0.015,1.237593909460644,0.3718440029734562,0.5900705302785633,0.028847245359101027,2,4,0,0.1008;0.0862;0.5901;0.1358;0.0871,0.0454;0.0383;0.0460;0.0323;0.0670,0.7018753781004236,0.6808227465214761,0.6807017543859649,0.5904416212946157,0.562431941923775,-0.021173623714458634,0.0,0.726194797338173,0.6951603145795524,0.7192377495462795,0.7192377495462795,0.0
BNCI2014-001,6,288,22,5,0.015,1.1068006008985287,0.5026373115355716,0.51198445113935,0.04318254717328163,3,0,0,0.3612;0.0288;0.0577;0.5120;0.0404,0.0947;0.0333;0.0492;0.0545;0.0300,0.7014519056261344,0.7050816696914701,0.7154264972776769,0.7083484573502722,0.6563823351482153,0.013974591651542578,0.013974591651542578,0.7081669691470054,0.6738656987295826,0.7012704174228677,0.7012704174228677,0.0
BNCI2014-001,7,288,22,5,0.015,1.5225973699204114,0.08684054251368889,0.3616713377070457,0.014915365937536135,3,3,1,0.1338;0.1387;0.2251;0.3617;0.1408,0.0795;0.0638;0.1112;0.1157;0.0429,0.8680580762250454,0.8646098003629763,0.8681790683605565,0.8611615245009074,0.7920145190562613,0.00012099213551108878,0.00012099213551108878,0.8750756200846945,0.8333938294010889,0.8680580762250454,0.8680580762250454,0.0
BNCI2014-001,8,288,22,5,0.015,0.9133231935131827,0.6961147189209176,0.7439885424022833,0.040466954388337285,0,0,1,0.7440;0.0509;0.0585;0.0965;0.0501,0.2535;0.0704;0.1358;0.1208;0.0781,0.9583787053841502,0.961826981246219,0.9480338777979431,0.9343012704174228,0.9135511191772535,-0.010344827586207028,0.0034482758620688614,0.9584392014519058,0.9515426497277677,0.9584392014519058,0.9584392014519058,0.0
BNCI2014-001,9,288,22,5,0.015,0.43749408302190607,1.1719438294121942,0.8862397109178056,0.07492105994648209,3,3,1,0.0903;0.0095;0.0060;0.8862;0.0079,0.1500;0.0564;0.0852;0.1501;0.0670,0.8050816696914701,0.8364186327888687,0.8574107683000605,0.8263157894736842,0.8158499697519661,0.05232909860859036,0.05232909860859036,0.8364791288566245,0.84010889292196,0.8330308529945555,0.8330308529945555,0.0
BNCI2014-004,1,720,3,5,0.015,1.431853022240037,0.17758489019406332,0.3835689735515544,0.026804451585325552,1,0,0,0.2891;0.3836;0.1075;0.0642;0.1556,0.0953;0.0676;0.0000;0.0559;0.0131,0.7208333333333334,0.7194444444444443,0.7152777777777778,0.7180555555555556,0.675,-0.005555555555555647,0.0,0.7125,0.6986111111111111,0.7333333333333334,0.7333333333333334,0.0
BNCI2014-004,2,680,3,5,0.015,1.3174603452517224,0.2919775671823779,0.43058725127377073,0.03481959878588362,4,0,0,0.2789;0.2023;0.0460;0.0423;0.4306,0.0149;0.0091;0.0011;0.0000;0.0042,0.5661764705882353,0.5705882352941176,0.5647058823529412,0.5691176470588235,0.5823529411764705,-0.0014705882352941124,0.016176470588235237,0.5691176470588235,0.5867647058823529,0.5794117647058824,0.5794117647058824,0.0
BNCI2014-004,3,720,3,5,0.015,1.5629367649368944,0.04650114749720591,0.3073935254078934,0.012464223120754125,3,2,0,0.1839;0.1339;0.2258;0.3074;0.1490,0.0000;0.0005;0.0198;0.0000;0.0037,0.5666666666666667,0.5652777777777778,0.5680555555555555,0.5652777777777778,0.5666666666666667,0.001388888888888884,0.001388888888888884,0.5694444444444444,0.523611111111111,0.5722222222222222,0.5722222222222222,0.0
BNCI2014-004,4,740,3,5,0.015,0.09773976613359305,1.5116981463005073,0.9817994954944262,0.13424349696922122,0,0,1,0.9818;0.0004;0.0012;0.0166;0.0001,0.5215;0.0283;0.1028;0.2404;0.0050,0.9378378378378379,0.9337837837837839,0.9297297297297297,0.9283783783783784,0.9283783783783784,-0.008108108108108247,0.0,0.9337837837837839,0.9351351351351352,0.9337837837837839,0.9337837837837839,0.0
BNCI2014-004,5,740,3,5,0.015,0.056830400586067566,1.5526075118480327,0.9917124277136351,0.11524835394094346,4,4,1,0.0007;0.0029;0.0005;0.0043;0.9917,0.0706;0.0887;0.0262;0.0950;0.3154,0.85,0.85,0.8486486486486486,0.8486486486486486,0.8486486486486486,-0.0013513513513513375,0.0,0.8513513513513512,0.845945945945946,0.8527027027027027,0.8527027027027027,0.0
