dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
BNCI2014-001,1,288,22,5,0.015,csp,0.7241301840249683,0.885307728409132,0.7719883137869433,0.09437584748056843,1,1,1,0.0760;0.7720;0.0014;0.0090;0.1416,0.1100;0.1448;0.0504;0.0780;0.1193,0.8854809437386569,0.8992135511191772,0.9096793708408952,0.8993345432546885,0.8957652752571083,0.024198427102238296,0.024198427102238296,0.8992740471869329,0.9095583787053843,0.9027828191167574,0.9027828191167574,0.0
BNCI2014-001,2,288,22,5,0.015,csp,1.2678545790750797,0.3415833333590206,0.5250867417408525,0.03267584915541469,1,1,1,0.0830;0.5251;0.2474;0.0850;0.0595,0.0229;0.0506;0.0393;0.0233;0.0179,0.6038717483363581,0.6072595281306714,0.6073200241984271,0.6216575922565034,0.6248033877797943,0.0034482758620689724,0.020931639443436123,0.6004839685420448,0.6179673321234119,0.6004839685420448,0.6004839685420448,0.0
BNCI2014-001,3,288,22,5,0.015,csp,0.009166750747892315,1.600271161686208,0.9988757128596784,0.19116275486972992,0,0,1,0.9989;0.0001;0.0000;0.0010;0.0000,0.2358;0.0992;0.0447;0.1324;0.0506,0.9339987900786451,0.9652752571082879,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.024258923169993785,0.03127646702964282,0.9479733817301875,0.9479128856624321,0.9514216575922566,0.9514216575922566,0.0
BNCI2014-001,4,288,22,5,0.015,csp,1.4788218868746694,0.13061602555943086,0.33126559595703503,0.023374792540245964,0,0,1,0.3313;0.2058;0.2814;0.1118;0.0697,0.0720;0.0648;0.0695;0.0557;0.0486,0.7643073200241985,0.7886267392619478,0.7781004234724743,0.7537205081669691,0.7398669086509376,0.013793103448275779,0.024319419237749273,0.7885662431941924,0.6949788263762855,0.7919540229885058,0.7919540229885058,0.0
BNCI2014-001,5,288,22,5,0.015,csp,1.2411461214199135,0.36829179101418674,0.5776535851164061,0.03464115603466297,4,4,1,0.1374;0.0854;0.1423;0.0574;0.5777,0.0454;0.0383;0.0460;0.0323;0.0670,0.7018753781004236,0.7295825771324862,0.7470659407138536,0.7295825771324864,0.7156684815486992,0.04519056261343002,0.04519056261343002,0.726194797338173,0.6951603145795524,0.7260133091349061,0.7260133091349061,0.0
BNCI2014-001,6,288,22,5,0.015,csp,0.5336368103965421,1.0758011020375582,0.8722608742048021,0.06473493296011579,0,0,1,0.8723;0.0145;0.0419;0.0597;0.0117,0.0947;0.0333;0.0492;0.0545;0.0300,0.7014519056261344,0.7015728977616454,0.7155474894131881,0.7084694494857834,0.6770719903206291,0.014095583787053778,0.014095583787053778,0.7081669691470054,0.6738656987295826,0.7082879612825167,0.7082879612825167,0.0
BNCI2014-001,7,288,22,5,0.015,csp,0.9382919659785283,0.671145946455572,0.5363029616536826,0.07283374311425617,3,3,1,0.0479;0.0168;0.3948;0.5363;0.0042,0.0795;0.0638;0.1112;0.1157;0.0429,0.8680580762250454,0.8819116757410768,0.8679975801572898,0.8575922565033274,0.8298245614035087,-6.04960677555999e-05,0.013853599516031379,0.8750756200846945,0.8333938294010889,0.8577132486388385,0.8577132486388385,0.0
BNCI2014-001,8,288,22,5,0.015,csp,0.005052664662856907,1.6043852477712435,0.999451232700199,0.18300453838577924,0,0,1,0.9995;0.0000;0.0004;0.0001;0.0000,0.2535;0.0704;0.1358;0.1208;0.0781,0.9583787053841502,0.9377495462794918,0.9343012704174228,0.9343012704174228,0.9343012704174228,-0.024077434966727318,0.0,0.9584392014519058,0.9515426497277677,0.9584392014519058,0.9584392014519058,0.0
BNCI2014-001,9,288,22,5,0.015,csp,0.7476780173657078,0.8617598950683925,0.49683010941075806,0.0937209036158588,3,3,1,0.4937;0.0010;0.0065;0.4968;0.0019,0.1500;0.0564;0.0852;0.1501;0.0670,0.8050816696914701,0.8608590441621293,0.8608590441621293,0.8574107683000605,0.8366001209921354,0.055777374470659224,0.055777374470659224,0.8364791288566245,0.84010889292196,0.8330308529945555,0.8330308529945555,0.0
BNCI2014-004,1,720,3,5,0.015,csp,0.629388274985154,0.9800496374489462,0.8087082186408726,0.09527757913046364,0,0,1,0.8087;0.1280;0.0014;0.0585;0.0034,0.0953;0.0676;0.0000;0.0559;0.0131,0.7208333333333334,0.7125,0.7208333333333334,0.6986111111111111,0.6972222222222222,0.0,0.0,0.7125,0.6986111111111111,0.7486111111111111,0.7486111111111111,0.0
