dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
BNCI2014-001,1,288,22,7,0.015,csp,0.7233521225215809,1.2225580265337324,0.7950103769507854,0.0952394692176659,2,2,1,0.0089;0.0782;0.7950;0.0015;0.0093;0.1058;0.0014,0.0774;0.1100;0.1448;0.0504;0.0780;0.1145;0.0495,0.8958257713248639,0.9200846944948576,0.9096188747731396,0.8854204476709013,0.8922565033272838,0.013793103448275779,0.024258923169993785,0.9166969147005444,0.9027223230490018,0.9062915910465819,0.9062915910465819,0.0
BNCI2014-001,2,288,22,7,0.015,csp,1.6504807833457211,0.2954293657095921,0.4257409191885562,0.027662934041978116,2,2,1,0.0989;0.0673;0.4257;0.2006;0.0690;0.0685;0.0700,0.0287;0.0229;0.0506;0.0393;0.0233;0.0232;0.0235,0.6112522686025409,0.5938294010889292,0.5972171808832426,0.6076830006049607,0.5903206291591048,-0.01403508771929829,0.0,0.617967332123412,0.6008469449485784,0.6249243799153055,0.6249243799153055,0.0
BNCI2014-001,3,288,22,7,0.015,csp,0.009288588801374387,1.936621560253939,0.9988663993614113,0.20116131003275511,1,1,1,0.0000;0.9989;0.0001;0.0000;0.0010;0.0000;0.0000,0.0548;0.2358;0.0992;0.0447;0.1324;0.0347;0.0565,0.9306110102843317,0.9652752571082879,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.027646702964307157,0.03466424682395619,0.9339987900786448,0.9479128856624321,0.930550514216576,0.930550514216576,0.0
BNCI2014-001,4,288,22,7,0.015,csp,1.7058450757081038,0.2400650733472094,0.28223533112414056,0.038857002715753514,1,1,1,0.1561;0.2822;0.1753;0.2398;0.0953;0.0302;0.0212,0.0631;0.0720;0.0648;0.0695;0.0557;0.0385;0.0331,0.7608590441621293,0.7851179673321234,0.7988505747126436,0.7676346037507562,0.7329098608590441,0.037991530550514296,0.037991530550514296,0.7816696914700545,0.6983666061705989,0.7816091954022988,0.7816091954022988,0.0
BNCI2014-001,5,288,22,7,0.015,csp,0.41007101735176954,1.5358391317035438,0.9058811908848837,0.08712125957713526,6,6,1,0.0672;0.0065;0.0040;0.0067;0.0027;0.0068;0.9059,0.0805;0.0454;0.0383;0.0460;0.0323;0.0462;0.1195,0.8228675136116153,0.8926799758015729,0.8995765275257108,0.8819721718088325,0.8853599516031458,0.07670901391409557,0.07670901391409557,0.878584392014519,0.8892316999395039,0.8888687235329705,0.8888687235329705,0.0
BNCI2014-001,6,288,22,7,0.015,csp,0.8076728004941787,1.1382373485611346,0.8034954043069166,0.07000039984622997,1,1,1,0.0606;0.8035;0.0134;0.0386;0.0550;0.0214;0.0076,0.0559;0.0947;0.0333;0.0492;0.0545;0.0404;0.0247,0.7189352692075015,0.7258318209316396,0.7084694494857835,0.7153055051421658,0.6840290381125228,-0.010465819721718006,0.006896551724138056,0.708529945553539,0.6705384150030248,0.7015728977616456,0.7015728977616456,0.0
BNCI2014-001,7,288,22,7,0.015,csp,0.6763598591595655,1.2695502898957476,0.8071591032408938,0.11097973335700423,0,0,1,0.8072;0.0092;0.0032;0.0757;0.1029;0.0013;0.0005,0.1466;0.0795;0.0638;0.1112;0.1157;0.0501;0.0357,0.9409558378705384,0.965275257108288,0.9548094373865699,0.9304295220810648,0.9269812462189957,0.01385359951603149,0.024319419237749607,0.9687235329703568,0.9548699334543255,0.9687235329703568,0.9687235329703568,0.0
BNCI2014-001,8,288,22,7,0.015,csp,0.005146205288524212,1.940763943766789,0.9994441631901451,0.19536313704538513,1,1,1,0.0000;0.9994;0.0000;0.0004;0.0001;0.0000;0.0000,0.0581;0.2535;0.0704;0.1358;0.1208;0.0621;0.0813,0.9514216575922566,0.9412583182093164,0.9343012704174228,0.9343012704174228,0.9343012704174228,-0.017120387174833773,0.0,0.951482153660012,0.9515426497277677,0.9549304295220811,0.9549304295220811,0.0
BNCI2014-001,9,288,22,7,0.015,csp,0.841900594708432,1.1040095543468813,0.4868857260880394,0.0937209036158588,4,4,1,0.0037;0.4838;0.0009;0.0064;0.4869;0.0027;0.0155,0.0770;0.1500;0.0564;0.0852;0.1501;0.0721;0.0985,0.8123411978221415,0.8434966727162735,0.860798548094374,0.8574107683000605,0.8366001209921354,0.04845735027223241,0.04845735027223241,0.8226860254083483,0.84010889292196,0.8192377495462795,0.8192377495462795,0.0
BNCI2014-004,1,720,3,7,0.015,csp,0.6600365270785651,1.2858736219767481,0.8046721852293001,0.09527757913046364,1,1,1,0.0020;0.8047;0.1274;0.0014;0.0582;0.0014;0.0049,0.0057;0.0953;0.0676;0.0000;0.0559;0.0000;0.0188,0.6986111111111111,0.701388888888889,0.7138888888888888,0.6986111111111111,0.6986111111111111,0.015277777777777724,0.015277777777777724,0.6958333333333334,0.6986111111111111,0.7291666666666667,0.7291666666666667,0.0
